AGE,GENDER,MARRIED,EVENT_ATTENDED,DONOR
61,Female,0,Yes,0
72,Female,0,No,0
52,Female,0,No,0
62,Female,1,No,0
65,Female,1,No,0
69,Male,1,No,0
73,Female,0,No,0
67,Female,0,Yes,0
63,Female,1,No,0
63,Male,0,No,0
38,Female,0,No,0
58,Male,1,No,1
65,Female,1,Yes,1
68,Female,1,Yes,1
66,Female,0,No,0
57,Female,1,No,0
63,Male,0,No,0
53,Female,0,No,0
40,Male,0,No,0
58,Female,0,No,0
61,Male,1,No,1
41,Female,1,Yes,0
65,Female,1,No,1
57,Female,0,Yes,0
50,Female,0,No,0
65,Female,0,No,0
53,Female,1,Yes,0
57,Male,0,Yes,0
48,Female,0,No,0
72,Female,1,Yes,0
76,Male,1,Yes,1
73,Female,1,Yes,0
55,Female,0,Yes,0
74,Female,1,No,1
63,Female,1,Yes,1
64,Female,0,No,0
46,Female,0,No,0
69,Female,1,Yes,1
67,Female,0,No,0
64,Female,0,No,0
51,Female,0,No,0
50,Female,0,No,0
60,Female,0,No,0
0,Female,0,No,0
42,Female,0,No,0
45,Female,0,No,0
85,Female,1,Yes,1
63,Male,0,No,0
64,Male,0,No,0
44,Female,0,No,0
47,Female,0,No,0
57,Female,0,No,0
44,Female,1,No,0
42,Female,1,No,0
55,Male,0,No,0
45,Female,0,No,0
50,Female,1,No,0
40,Female,1,No,0
44,Female,1,No,0
46,Female,0,No,0
47,Female,0,Yes,0
52,Female,1,No,0
56,Female,0,No,0
42,Female,1,No,1
68,Female,0,Yes,0
66,Female,0,No,0
61,Male,0,No,0
39,Female,0,No,0
44,Female,0,No,0
46,Female,0,No,0
61,Male,1,Yes,1
42,Female,1,No,0
69,Female,0,No,0
52,Female,0,No,0
63,Male,0,No,0
45,Female,1,No,0
54,Female,1,No,1
60,Female,0,No,0
51,Female,0,No,0
74,Male,0,No,0
51,Female,0,No,0
59,Female,0,No,1
56,Female,0,No,1
44,Male,0,No,0
47,Female,0,No,0
47,Female,0,No,0
56,Male,0,No,0
51,Female,0,No,0
53,Female,1,No,0
50,Female,0,No,0
57,Male,1,Yes,0
52,Female,0,Yes,0
69,Female,0,No,0
64,Female,0,No,0
52,Female,1,Yes,0
61,Female,0,No,0
49,Female,0,Yes,0
96,Female,0,No,1
49,Male,0,Yes,0
53,Female,1,No,0
50,Female,0,No,0
52,Female,0,No,0
49,Female,1,No,0
63,Male,0,No,0
51,Female,0,No,0
49,Female,0,No,0
49,Male,1,No,1
57,Female,0,No,0
49,Female,0,No,0
70,Male,1,Yes,0
51,Male,0,No,0
48,Female,0,Yes,0
52,Male,0,No,0
48,Female,0,No,0
46,Female,0,Yes,0
84,Male,1,No,0
0,Female,1,No,0
72,Female,0,No,0
52,Female,1,No,0
66,Female,1,Yes,1
0,Female,0,No,0
44,Female,1,Yes,0
62,Female,1,Yes,0
55,Female,1,No,0
52,Female,0,No,0
52,Female,0,No,0
50,Female,0,No,0
52,Male,1,No,0
47,Female,0,No,0
61,Female,0,Yes,0
73,Female,1,Yes,1
57,Male,1,Yes,0
73,Female,1,Yes,1
59,Female,1,Yes,1
58,Male,0,No,1
